用户名称,评分,评论时间,有用数,常居地,加入豆瓣时间,评论,用户url,页数
Amatsuki,20,"
2018-02-16
",1,山东青岛, 2011-01-13," 质量实际没有湄公河行动好，有点虚高。本来想打三星，但是一直碰瓷战狼营销，怪恶心的
        ",https://www.douban.com/people/48763823/,280
Amber是琥珀啊,30,"
2018-02-22
",7,, 2015-04-14," 带妈妈一块看的电影  不说剧情  但是已经很感激自己生在一个和平年代了 和被恐怖主义挟持相比我已经很幸运了
        ",https://www.douban.com/people/125374792/,140
AmoR,20,"
2018-02-23
",0,上海, 2008-01-20," 节奏混乱，配乐败笔。某些刻意煽情的剧情反而让“True Story”失真。
        ",https://www.douban.com/people/greyelf/,360
amour,50,"
2018-02-25
",8,上海, 2009-08-28," 林超贤这是在这个领域要封神啊
        ",https://www.douban.com/people/8597530/,380
Anesthesia,10,"
2018-02-21
",4,上海, 2009-06-12," 不好意思 我身体虚 看了40分钟退场了 头晕目眩恶心想吐心慌 整个人都不好了 能退票吗？
        ",https://www.douban.com/people/4389847/,80
Angry River,30,"
2018-02-26
",1,浙江湖州, 2013-08-19," 陪老爸看电影#大兄弟们精美的韩式眉太太太出戏了
        ",https://www.douban.com/people/76875681/,160
Anthony。,30,"
2018-02-23
",7,北京, 2012-09-27," 过誉了
        ",https://www.douban.com/people/64968243/,80
Antoine,20,"
2018-02-21
",1,北京, 2016-11-15," 这片子根本不需要编剧，乏味的人物进行愚蠢互动。
        ",https://www.douban.com/people/153866398/,260
Aphrodite,20,"
2018-02-20
",1,上海, 2009-11-06," 电影不差，节奏不拖沓，密集的打斗看着有点反胃（生理上的）略血腥，取名战狼3也可以。
        ",https://www.douban.com/people/22242062/,180
Aray,50,"
2018-02-19
",13,北京, 2007-01-04," 太他妈硬核了！
        ",https://www.douban.com/people/kingszar/,160
AronLatsyrc,50,"
2018-02-18
",15,北京, 2008-01-05," 观影感受：1.国产主旋律电影已经无可厚非地上了一个大档次；2.特效水平已经不会再让人想砸屏幕；3.不靠喊口号说教打动人，反而在大主题下不经意小点缀的儿女情长更为动人；4.不说张译张涵予，生面孔的几个主演简直帅到没朋友，特种兵军服酷炸；5.海清的那几句阿拉伯语有模有样，还是土语～
        ",https://www.douban.com/people/crystalnura/,280
Artful Dodger,40,"
2018-02-18
",4,"Providence, United States", 2008-02-11," 我军终于在北上导演协助下打出了黑鹰坠落的效果，叙事和影像调度实在是太像射击游戏了，真的不考虑联系cod出个红海行动特供中国市场吗……最后机枪妹扛起毒刺的时候我直接在脑子里复习了操作流程...
        ",https://www.douban.com/people/shushanshao/,340
artichaut,20,"
2018-02-19
",10,北京, 2007-09-20," 眼看不行了来个沙尘暴，眼看不行了又来个无人机，剩下的危机主要靠狙击手。狙击手是挺厉害的，但那些没什么必要的血腥细节是怎么回事啊啊啊啊啊啊啊。
        ",https://www.douban.com/people/artichaud/,120
Asuku,30,"
2018-02-17
",2,上海, 2009-08-13," 7/10，完成度挺高的动作片，文戏比《湄公河行动》削得还严重。和近年来叙利亚局势相呼应，主任务是保护侨民终极任务是反恐，消除了《战狼2》那种强烈的民族主义感。突突突、嘭嘭嘭、哐哐哐两小时很爽但还是有点累，部分情节真心不适合带小朋友去看_(:з」∠)_
        ",https://www.douban.com/people/5838069/,180
Atom,20,"
2018-02-23
",0,江苏南京, 2010-07-16," 老王看的很开心
                
                
        ",https://www.douban.com/people/Aurora707/,420
Au Revoir,10,"
2018-02-18
",66,上海, 2014-04-22," So damn boring 
        ",https://www.douban.com/people/NarcissusShiver/,20
Avenger°,30,"
2018-02-24
",15,, 2015-05-23," 文戏0分，人物刻画基本没有，结尾抢黄饼那段真的鸡肋，总体没比战狼2强多少
        ",https://www.douban.com/people/128130996/,80
Azeril,40,"
2018-02-19
",1,浙江杭州, 2010-01-31," 真实事件改编 标准的大片制式打造。剧本不错 细节尤其是战斗部分刻画很见功力（相较湄公河依然有进步）诸位演技不赖 几乎不出戏 难能可贵。角色设定上并未突出单独形象 偏向群像式塑造 视作海军部队半官方宣传片也没问题。整体而言 诚意很足。最后 希望分级制度早点制定实施...
        ",https://www.douban.com/people/Azeril/,440
B13,20,"
2018-02-24
",0,上海, 2008-08-30," 哪有说的那么好啊！连一个逻辑清楚的故事线都讲不清楚，除了打就是打啊~而且我居然开始对中国人脸盲了，可怕！！！
        ",https://www.douban.com/people/lovepeter/,340
BananaCo,20,"
2018-02-18
",0,湖北武汉, 2014-03-15," 真不是挑刺，可能就一群新晋吃鸡玩家看高潮了。文戏就不说了四场大乱斗没一场有印象，就突突对射手雷对丢，放大版的香港街头警匪枪战。勇者行动的救人质，湄公河的商场，边境杀手的堵车，哥斯拉包括变形金刚的翼装伞降，有一点比得上的吗。还有分级制度的问题，有必要这么血腥吗。开个绿灯这么为所欲为
        ",https://www.douban.com/people/84823324/,400
Basatio,30,"
2018-02-25
",1,, 2009-04-16," 商业类型片该有的感觉有了，很多手法都已经很好莱坞，比如开头的开胃菜小高潮的结构，等等。但剧本还有待琢磨，现在的戏明显太满，强行堆砌，一古脑儿全摆到你面前，再好的菜这么上也要减分的吧。主次、衔接还要加强和丰满化。
        ",https://www.douban.com/people/4006640/,400
bb77885,30,"
2018-02-22
",1,安徽淮南, 2012-07-12," 好吧，不好的话我就不说了。
        ",https://www.douban.com/people/63044059/,300
BBpanda,40,"
2018-02-17
",6,上海, 2007-01-14," 断胳膊断腿、断手指、爆头爆脸爆全身、开膛破肚什么的自不必谈了。最后还有#战车道#。塞的太满，感觉像是两个小时速通COD现代战争1代到3代……
        ",https://www.douban.com/people/shaqingqing/,320
benshuier,40,"
2018-02-19
",5,上海, 2005-10-01," 剧情很紧张紧凑。建议不要带未成年观看。国内应该尽快建立电影分级。
        ",https://www.douban.com/people/1029207/,400
Berzerk??,30,"
2018-02-25
",0,江苏常州, 2011-06-16," 基本就是吴京拿了海军编制同时分裂出八个人格又跑去维和当世界警察了，比战狼也就强在了那么点视听上。林超贤是个偷换概念的高手，撤侨、救人质、帮忙打内战、反恐，最终的落脚点与初衷早已大相径庭，一步步把观众带入意淫强国梦的沟里。
        ",https://www.douban.com/people/Dunkirk/,340
Black Tulip,30,"
2018-02-25
",1,江苏南通, 2008-04-27," 我们也有的战争大片。林超贤这个导演挺有意思。
        ",https://www.douban.com/people/Black_Tulip/,180
BLACKOUT,10,"
2018-02-16
",17,辽宁本溪, 2012-12-08," hhhh 
        ",https://www.douban.com/people/66973670/,60
BlackPink,30,"
2018-02-16
",5,上海, 2010-09-01," 不好看
        ",https://www.douban.com/people/45476659/,220
Blue Velvet,30,"
2018-02-21
",1,"Melbourne, Australia", 2008-08-14," 头一次看主旋律电影。看了十五分钟就有点困了。后来慢慢看的还行。有些战争场面很血腥暴力，小孩还是别看了。海清rio尴尬
        ",https://www.douban.com/people/nicate/,200
Bob,30,"
2018-02-18
",2,广东深圳, 2011-03-22," 文戏不足，武戏太乱，想拍的太多，时间太长，两场狙击还不错，部分人中途退场，有小朋友被血腥场面吓得大哭。
        ",https://www.douban.com/people/exbob/,460
bob_home,20,"
2018-02-17
",15,, 2010-09-27," 爱国主义真是一门好买卖
        ",https://www.douban.com/people/46194791/,100
bobobolao,40,"
2018-02-25
",1,广东深圳, 2013-06-20," 本身是对这类电影毫无兴趣,甚至嗤之以鼻.但陪爸妈看下来,全程高潮不断,拿来和某帝流水线式动作枪战戏比毫不逊色,反而假肢血浆用起来更有诚意更显真实(3D的作用只是那两个正面子弹射出的镜头而已吧,拒绝伪3D!)PS这么多暴力血腥镜头,绝对R级没跑,光腚你就觉得祖国的花朵内心这么强大可以看这个?呼吁分级!
        ",https://www.douban.com/people/74176502/,200
boks,50,"
2018-02-17
",11,上海, 2005-05-16," 好硬的海坷垃。佟莉蒋璐霞帅死了
        ",https://www.douban.com/people/boks/,280
boss,40,"
2018-02-16
",11,重庆, 2009-11-23," 最大的问题是海清不够辣
        ",https://www.douban.com/people/ZhongZhun/,380
bravado,20,"
2018-02-25
",0,重庆, 2012-02-26," 走到尽头了，快别拍了。
        ",https://www.douban.com/people/58948103/,480
bunnyquan,40,"
2018-02-22
",9,辽宁大连, 2010-06-12," 严肃，紧张，不太活泼，见识了各种先进的兵器，大国实力。ps：吃鸡是兼顾娱乐性和知识性的好游戏
        ",https://www.douban.com/people/sdueqtq/,240
bupt_lux,20,"
2018-02-21
",0,辽宁沈阳, 2007-05-23," 看的出来，钱花到位了，演员演得也挺卖力的。但是这个剧情我真是接受不了，战争场面更是主旋律的不行，少了真实
        ",https://www.douban.com/people/1569021/,400
camille,20,"
2018-02-19
",0,浙江杭州, 2007-11-20," 从头打到尾的突突突，又是巷战又是各种武器轮番上，让人想起多年前的《洛杉矶之战》，但，剧情生硬得让人打哈欠，为打而打。血浆残肢就算写实了么？居然还有评论拿来和《黑鹰坠落》比……
        ",https://www.douban.com/people/camille646/,300
Cao,30,"
2018-02-18
",0,上海, 2006-01-11," 除了海清有点尬以外都还挺屌的
        ",https://www.douban.com/people/gatsby/,420
Carnett,10,"
2018-02-23
",3,"Toronto, Canada", 2011-09-03," 这个评分？豆瓣也沦陷了
                
                
        ",https://www.douban.com/people/54207079/,160
castle,20,"
2018-02-16
",7,浙江杭州, 2009-09-04," 职业军人为何最后如此歇斯底里，
        ",https://www.douban.com/people/9822148/,100
Caviners,30,"
2018-02-17
",106,辽宁沈阳, 2012-03-01," 唉，遭罪。
        ",https://www.douban.com/people/59078607/,0
Cecile,20,"
2018-02-19
",0,北京, 2007-08-27," 找个电影陪爸妈看，结果我妈刚开始就快睡着了，我爸看一半就离场了。全程突突突，吵死。还黄乎乎乱糟糟。非军事迷真无法欣赏。
        ",https://www.douban.com/people/icecile/,300
cenxuan,50,"
2018-02-17
",31,江苏淮安, 2009-04-26," 真实事件改编。。故事情节紧凑  画面震撼  也很血腥  好多镜头都不太敢看。。这就是战乱吧。。石头牺牲那里简直爆哭啊??特别是当佟莉给他糖 对他说“石头 不疼了。。我们回家了。。”时
ps:这部里张涵予不算主角 但还是超喜欢他。。张译真是超级帅。。张涵予张译组合在我心中很无敌了

        ",https://www.douban.com/people/xuancen/,260
Charlotte,40,"
2018-02-19
",3,北京, 2010-01-02," 颠覆了我对主旋律题材的认知，对比之“陆空”两部更愿意承认红海真正意义上提供了一种全新打开国产战争片的方式。克制冷静，每一条线都有迹可循，每一个人物都自成章法，甚至成功打动了像我这种对枪战题材、爱国情怀、民族情感免疫的人群，翻阅评论时仍觉得意犹未尽。好看，忍不住想发朋友圈的那种。
        ",https://www.douban.com/people/domisodagreen/,300
cheriechik,30,"
2018-02-28
",0,广西南宁, 2011-01-12," 目前8.5的评分绝对是过誉，本来以为这是春节档最大的佳作，原来佳作不属于春节档。叹服博纳影业的胆识，本片就是集体主义的《战狼2》，如出一辙的故事，片方依然信心笃定。集体主义更接近现实，而个人主义更好看。林超贤导演水平发挥不稳定。缺乏深刻人物刻画，是提高民族自信心的军事演习纪录片。
        ",https://www.douban.com/people/48747709/,380
Cherry Chung,10,"
2018-02-25
",2,, 2016-07-19," 补标：热开场之后直接睡倒。。。
        ",https://www.douban.com/people/148509129/,180
chj,20,"
2018-02-23
",0,上海, 2008-01-12," 好看在哪里？剧情呢？海清演成这样没有问题？只有一句话：愿世界和平！
        ",https://www.douban.com/people/sarahere/,320
cincky,30,"
2018-02-24
",0,"台北, 台湾", 2009-02-05," 比看男朋友打吃鸡有趣，中途发呆几次，觉得导演的视听是厉害的，看起来很复杂，但实际上是很简洁的。
        ",https://www.douban.com/people/Cincky.XiN/,180
Cinnamon圈,50,"
2018-02-23
",19,浙江宁波, 2011-02-10," 看得掉眼泪……电影是假的，演员死一百次，我也能控制情绪。但想到现实中，的确有无数军人，在危机重重之地为我们付出青春和血汗，就觉得残忍至极。我真的没有理由不珍惜……
        ",https://www.douban.com/people/49337423/,180
cjy,30,"
2018-02-22
",0,, 2009-08-19," 3.5
        ",https://www.douban.com/people/pkbraveheart/,280
Clyde,40,"
2018-02-19
",8,广东深圳, 2007-12-31," 1、用类型片包装主旋律，路子终于对了，说教点到为止，甩某狼2几条街。2、动作、爆破场面可以媲美好莱坞一流制作，全程高能，一嗨到底。3、团队作战取代个人英雄，更有力量和真实感。4、海军的全力支持是成就影片的重要因素，而影片也成为海军的最佳名片，宣传效果超过一切口号。5、肯定超20亿
        ",https://www.douban.com/people/chenhuayang/,240
Cocoon,20,"
2018-02-21
",1,北京, 2009-04-12," 有点乱
        ",https://www.douban.com/people/johnnychanisme/,200
connie,30,"
2018-02-17
",1,, 2010-08-21," 3星半 打斗场面还行紧凑 女主演技浮夸 强行bgm和主旋律 愿世界和平
                
                
        ",https://www.douban.com/people/45074622/,320
converse-ation,40,"
2018-02-17
",27,福建厦门, 2017-06-24," 分级制度，真的不了解一下？
        ",https://www.douban.com/people/162943066/,100
Cordelia,30,"
2018-02-27
",0,湖南长沙, 2015-04-03," 3.5 大制作战争片，很敢拍，只是结尾太强行植入，整部影片也变了味
        ",https://www.douban.com/people/124454581/,480
Cosine,40,"
2018-02-27
",2,广东广州, 2008-08-07," 感觉被科普了很多军事知识，很燃很真实很血腥。叙事还是有比较大缺陷。
        ",https://www.douban.com/people/Cosine.K/,400
Cow汪汪,30,"
2018-02-19
",1,重庆, 2010-12-17," 过誉了
        ",https://www.douban.com/people/astrid1003/,280
Crystal。,20,"
2018-02-23
",4,浙江杭州, 2013-11-01," 从头打到尾？Excuse me?
        ",https://www.douban.com/people/79546136/,120
cult,40,"
2018-02-09
",2076,北京, 2011-07-15," 超出预期，非常刺激，最后几场大战，血肉横飞，估计创下了近些年华语战争题材尺度之最。片尾没有强行拔高主题，或充斥个人英雄主义的色彩，整部影片都是一场接一场紧凑且高难度的任务，山地、沙漠、空降各类地形和作战任务几乎都涉及到了，狙击和营救的部分格外惊险，结尾亦干脆有力。
        ",https://www.douban.com/people/53088168/,0
Cycble,40,"
2018-02-26
",3,广东广州, 2010-01-19," 还没等到组织的爱国主义教育之看电影，确实比某狼好看太多，只是，战争太残酷，吃糖也没用，别扯什么勇者无惧强者无敌，你热爱战争的唯一原因是没参加过战争。
        ",https://www.douban.com/people/chaiyanchao/,240
cynthia秋,50,"
2018-02-19
",24,广东广州, 2014-11-19," 4.5星 终于有部电影 主角在枪林弹雨里穿行会死 会断手 会毁容 会手指炸掉都不自知
        ",https://www.douban.com/people/109018496/,240
Daisyyy,10,"
2018-02-21
",1,香港, 2011-12-09," 大概三十年后会成为中国的cult神片…
        ",https://www.douban.com/people/56867192/,120
daNce,40,"
2018-02-23
",8,北京, 2013-03-15," 比战狼2好了一个湄公河行动的距离
        ",https://www.douban.com/people/70202233/,400
darkcat,40,"
2018-02-22
",34,, 2006-10-13," 看完想赶紧吃两把鸡
        ",https://www.douban.com/people/darkcat/,60
David Feng,30,"
2018-02-19
",9,广东深圳, 2014-02-02," 算是近几年来拍的最好的主旋律军事片了，两个钟头里基本上都是枪战，让人有点审美疲劳…

最为重要的，这部片基本上算是R级片，很多血腥场面成人都受不了，有些还带了婴儿来看…
        ",https://www.douban.com/people/83044341/,140
DDR,10,"
2018-02-20
",0,河南洛阳, 2011-12-10," 第一次看杜比厅，声音效果真的很震撼
但不到10分钟就困了，坚持了会儿，半睡半醒觉又想吐就退场了
        ",https://www.douban.com/people/kttddr/,440
Dengjt,50,"
2018-02-17
",23,, 2015-10-18," 希望很快就有质量超越《红海行动》的国产商业片
        ",https://www.douban.com/people/136216797/,300
Derrick Lau,50,"
2018-02-18
",23,广东广州, 2015-07-26," 不知道吴京看完这部电影会不会感到羞愧
--2018.02.18
        ",https://www.douban.com/people/132065750/,240
DonCrime,30,"
2018-02-25
",1,四川成都, 2010-09-28," 我看到虎扑有人说片子和黑鹰坠落没什么差了？最后收得也太仓促了吧。不论这些，残肢、爆头、砍手，审查我审nm呢
        ",https://www.douban.com/people/46206364/,200
doracmon,10,"
2018-03-04
",4,"?saka, Japan", 2009-03-03," 残肢断臂，血肉横飞，暴力血腥，这样的电影就这么堂而皇之地在贺岁档全国公映了。那些曾经封杀了无数暴力题材作品的广电总局在爱国主义面前，节操早已灰飞烟灭。在这个没有分级制度的国家，不知道那些六七岁被家长带进电影院的孩子看到剧中人乳头被割会是怎样的感想呢？张译海清，你们为什么要接这部片
        ",https://www.douban.com/people/doraccmon/,80
double dan,50,"
2018-02-19
",19,浙江温州, 2013-11-27," 吃糖不痛，愿世界和平。
        ",https://www.douban.com/people/80524941/,400
DoubleK先僧,30,"
2018-02-18
",1,浙江杭州, 2015-05-25," 千万不要被豆瓣评分骗了，绝不是老少咸宜的贺岁片，从头打到尾看着都累…希望以后这类电影更严谨一点。
        ",https://www.douban.com/people/128241757/,400
DPDA,50,"
2018-02-16
",20,广西南宁, 2013-07-09," 看完想不通怎么过审的，非常血腥，所以强烈建议别带16岁以下孩子观看！个人认为制作水准比较好莱坞高分战争片；残酷现实的战争描绘，都是为了告诉世人和平的珍贵；最后提醒各位养足精神再看，因为你会从影片的第一分钟绷紧神经到最后一秒！
不仅是春节档最佳，可谓国产动作战争片的标杆级作品！
        ",https://www.douban.com/people/dantonio/,480
Drachen,20,"
2018-02-17
",523,江苏苏州, 2011-02-08," 无聊，冒死营救非洲战乱区华侨的故事，第一次看到一半退场。一路不停的打打杀杀，评论里面夸的文戏不超过二十分钟，也可以从另一个角度说明，电影几乎没有情节，全是战争场面；本是因为8.5的高分被吸引，现在看来水分很大，爱国主旋律想要复制战狼2的成功，可惜未得精髓；借政治正确，消费爱国情怀
                
                
        ",https://www.douban.com/people/15080714/,0
DR邬梦雨,30,"
2018-02-22
",1,上海, 2010-10-14," 摄影调度再漂亮点、后半程节奏再紧凑点、小队伤亡再惨烈一点、国家命令再荒谬无情一点、电脑特效再少用一点，会是一部好电影。
        ",https://www.douban.com/people/46643232/,280
DS,10,"
2018-03-03
",0,, 2011-09-04," 整个电影看的让人坐立不安。都怪自己好奇，想看看院线最大尺度到什么程度。我认为导演根本不会拍电影，节奏，台词功底，画面感，原创性，道德感都不及格。整个电影透露出一种信念：为达目的，1少部分牺牲自己，2大量牺牲名为敌人的别人，都只是一种合理的手段。导演的世界观很渗人，估计导演狠小孩
                
                
        ",https://www.douban.com/people/54232432/,460
ECHO,20,"
2018-02-24
",7,青海西宁, 2015-12-22," 没有剧情，没有人物，全程就是打打打，评分虚高。
        ",https://www.douban.com/people/139338265/,80
